Text,Domain,Predicted domain,Intent,Predicted intent,Slots,Predicted slots
remind upcoming meeting with eminem,calendar,calendar,calendar_set,calendar_set,O O B-event_name O B-person,O O B-event_name O B-artist_name
remind me to call mom every tuesday at ten am,calendar,calendar,calendar_set,calendar_set,O O O B-event_name I-event_name B-general_frequency I-general_frequency O B-time I-time,O O O B-event_name B-relation B-general_frequency I-general_frequency O B-time I-time
set repeating reminder for every sunday,calendar,calendar,calendar_set,calendar_set,O O O O B-general_frequency I-general_frequency,O B-event_name O O B-general_frequency I-general_frequency
information of recent events,calendar,news,calendar_query,news_query,O O O O,O O O O
what is my schedule for the day,calendar,calendar,calendar_query,calendar_query,O O O O O B-date I-date,O O O O O O O
hayathis daughter baby shower,calendar,general,calendar_set,general_quirky,B-person B-event_name I-event_name I-event_name,B-person O O O
open meeting time,calendar,calendar,calendar_query,calendar_set,O B-event_name O,O B-event_name O
remind me two days before my wife birthday,calendar,calendar,calendar_set,calendar_set,O O O O O O B-relation B-event_name,O O B-date O O O B-relation I-event_name
just set me reminders about pending bill payments,calendar,calendar,calendar_set,calendar_set,O O O O O B-event_name I-event_name I-event_name,O O O O O O B-event_name I-event_name
just let me know the important meetings with my boss over the week,calendar,calendar,calendar_set,calendar_set,O O O O O B-event_name I-event_name I-event_name I-event_name I-event_name B-time I-time I-time,O O O O O O B-event_name O O B-relation O O B-time
ok google delete eric's b. day from the calendar,calendar,calendar,calendar_remove,calendar_remove,O O O B-event_name I-event_name I-event_name O O O,O O O B-person B-event_name I-event_name O O O
show meetings,calendar,calendar,calendar_set,calendar_query,O B-event_name,O B-event_name
meetings from twenty to twenty five june,calendar,calendar,calendar_query,calendar_set,B-event_name O B-time I-time I-time I-time I-time,B-event_name O B-time I-time I-date I-date I-date
rahul marriage reminder,calendar,calendar,calendar_query,calendar_set,B-person B-event_name O,B-person B-event_name O
upcoming events in calendar,calendar,calendar,calendar_set,calendar_query,B-event_name I-event_name O O,O O O O
can you put in lee's birthday on the twenty second of june,calendar,play,calendar_set,play_music,O O O O B-event_name I-event_name O O B-date I-date I-date I-date,O O O O B-person I-event_name O O B-date I-date I-date I-date
remove tonights dinner with shelly,calendar,calendar,calendar_remove,calendar_remove,O B-event_name I-event_name I-event_name I-event_name,O B-date B-meal_type O B-person
is there a meeting on my calendar this afternoon,calendar,calendar,calendar_query,calendar_query,O O O B-event_name O O O B-timeofday I-timeofday,O O O B-event_name O O O B-timeofday B-timeofday
what time does the zach brown concert on june third begin,calendar,calendar,calendar_query,calendar_query,O O O O B-event_name I-event_name I-event_name O B-date I-date O,O O O O B-person I-person I-event_name O B-date I-date O
exhibition two thousand and seventeen mass on mar twenty five make a note of it on the corresponding date,calendar,calendar,calendar_set,calendar_set,B-event_name I-event_name I-event_name I-event_name I-event_name I-event_name O B-date I-date I-date O O O O O O O O O,B-event_name I-event_name I-date I-event_name I-event_name I-event_name O B-date I-date I-date O O O O O O O O O
make a repeating reminder for this calendar event,calendar,calendar,calendar_set,calendar_set,O O O O O O O O,O O B-event_name O O O O O
could you reschedule my meeting,calendar,calendar,calendar_query,calendar_set,O O O O B-event_name,O O O O B-event_name
show me the events in my work calendar for next week,calendar,calendar,calendar_set,calendar_query,O O O O O O B-event_name O O B-date I-date,O O O O O O B-event_name O O B-date I-date
at what time is the italian cafe closed between lunch and dinner,calendar,calendar,calendar_query,calendar_query,O O O O O B-business_name I-business_name O O O O O,O O O O O B-food_type B-business_type O O B-meal_type O B-meal_type
when does the super bowl officially start,qa,qa,qa_factoid,qa_factoid,O O O B-event_name I-event_name O O,O O O O I-event_name O O
please add dinner with mary to my calendar on saturday,calendar,calendar,calendar_set,calendar_set,O O B-event_name I-event_name I-event_name O O O O B-date,O O B-meal_type O B-person O O O O B-date
cancel my plans to pick up my parents from the airport,calendar,calendar,calendar_remove,calendar_remove,O O O O B-event_name I-event_name I-event_name I-event_name O O B-place_name,O O O O B-event_name I-event_name I-event_name B-relation I-event_name O B-place_name
research the clients that will attend the meeting,calendar,calendar,calendar_set,calendar_query,O O O O O O B-event_name I-event_name,O O O O O O O B-event_name
please tune nine hundred and thirty eight f. m. radio mirchi,play,play,play_radio,play_radio,O O B-radio_name I-radio_name I-radio_name I-radio_name I-radio_name I-radio_name I-radio_name O O,O O B-radio_name I-radio_name I-radio_name I-radio_name I-radio_name I-radio_name I-radio_name B-radio_name I-radio_name
play f. m.,play,play,play_radio,play_radio,O O O,O B-radio_name I-radio_name
put on,play,play,play_radio,play_audiobook,O O,O O
play an f. m.,play,play,play_radio,play_radio,O O O O,O O B-radio_name I-radio_name
tune to classic hits,play,play,play_radio,play_music,O O B-radio_name I-radio_name,O O B-music_genre I-music_genre
play kiss f. m. for me,play,play,play_radio,play_music,O B-radio_name I-radio_name I-radio_name O O,O B-song_name I-radio_name I-radio_name O O
please play radio station one right now,play,play,play_radio,play_radio,O O B-radio_name I-radio_name I-radio_name O O,O O O O B-radio_name O O
please scan the am dial on the radio right now,play,play,play_radio,play_radio,O O O O O O O O B-date I-date,O O O B-radio_name O O O O O O
play,play,play,play_radio,play_music,O,O
let's play music hits,play,play,play_radio,play_music,O O O O,O O O O
play c. n. n. radio,play,play,play_radio,play_radio,O B-radio_name I-radio_name I-radio_name I-radio_name,O B-radio_name I-media_type I-media_type O
start sirius xm radio channel,play,play,play_radio,play_radio,O B-radio_name I-radio_name I-radio_name I-radio_name,O B-radio_name I-radio_name O O
i want to hear a station that plays r. & b.,play,play,play_radio,play_radio,O O O O O B-radio_name I-radio_name I-radio_name I-radio_name I-radio_name I-radio_name,O O O O O O O O B-radio_name I-radio_name I-radio_name
play nineties hip hop,play,play,play_music,play_music,O B-music_genre I-music_genre I-music_genre,O B-music_genre B-music_genre I-music_genre
turn on a country music station,play,play,play_radio,play_radio,O O O B-music_genre O O,O O O B-radio_name I-radio_name I-radio_name
could you please play the f. m. station which plays pop songs,play,play,play_radio,play_radio,O O O O O B-radio_name I-radio_name O O O B-music_genre O,O O O O O B-radio_name I-radio_name I-radio_name O O B-music_genre O
please find the radio station currently playing howard stern,play,play,play_radio,play_radio,O O O O O O O O O,O O O O O O O B-radio_name I-radio_name
play any pop f. m. channel,play,play,play_radio,play_radio,O O B-music_genre B-radio_name I-radio_name O,O O B-radio_name I-radio_name I-radio_name I-radio_name
play the last doctor who radio broadcast,play,play,play_radio,play_podcasts,O O O O O B-media_type I-media_type,O O O B-podcast_name I-audiobook_name O O
turn on some n. p. r. and play them out of my speakers,play,play,play_radio,play_radio,O O O B-radio_name I-radio_name I-radio_name O O O O O O B-device_type,O O O B-radio_name I-radio_name I-radio_name O O O O O O O
i want to hear the bob cesca show,play,play,play_radio,play_radio,O O O O O O O O,O O O O O O I-person O
play romantic music in nash f. m. ninety two point seven,play,play,play_radio,play_music,O B-music_genre B-media_type O B-radio_name I-radio_name I-radio_name I-radio_name I-radio_name I-radio_name I-radio_name,O B-music_genre O O B-music_genre I-radio_name I-radio_name I-radio_name I-radio_name I-radio_name I-radio_name
play station gx in the radio,play,play,play_radio,play_radio,O B-radio_name I-radio_name O O O,O O B-radio_name O O O
play britney spears live concert series,play,play,play_radio,play_music,O O O O O O,O B-artist_name I-artist_name O I-playlist_name O
play bhuli bisri yaadien program on ninety one point three f. m.,play,play,play_radio,play_radio,O O O O O O B-radio_name I-radio_name I-radio_name I-radio_name I-radio_name I-radio_name,O B-radio_name I-radio_name I-radio_name O O B-radio_name I-radio_name I-radio_name I-radio_name I-radio_name I-radio_name
search for podcasts that cover men's issues,play,play,play_podcasts,play_podcasts,O O B-media_type O O B-podcast_descriptor I-podcast_descriptor,O O O O O O O
f. m. ninety three point five radio songs,play,play,play_radio,play_radio,B-radio_name I-radio_name I-radio_name I-radio_name I-radio_name I-radio_name I-radio_name B-media_type,B-radio_name I-radio_name I-radio_name I-radio_name I-radio_name I-radio_name O O
play country radio,play,play,play_radio,play_radio,O B-radio_name I-radio_name,O B-music_genre O
play prairie home companion on the car radio,play,play,play_radio,play_radio,O O O O O O B-device_type I-device_type,O B-radio_name I-radio_name I-radio_name O O B-device_type I-radio_name
can i get delilah on the radio in the bedroom,play,play,play_radio,play_radio,O O O O O O O O O B-house_place,O O O B-radio_name O O O O O B-house_place
open spotify and open workout,play,play,play_radio,play_radio,O O O O O,O B-app_name O O O
play netflix on my p. s. four,play,play,play_radio,play_radio,O B-app_name O O B-device_type I-device_type I-device_type,O B-media_type O O B-device_type I-device_type I-radio_name
play me an upbeat song through your speakers,play,play,play_music,play_music,O O O B-music_descriptor O O O O,O O O B-music_genre O O O O
i want to listen to be more chill by ned vizzini,play,play,play_audiobook,play_music,O O O O O B-audiobook_name I-audiobook_name I-audiobook_name O B-audiobook_author I-audiobook_author,O O O O O O I-song_name I-song_name O B-artist_name I-artist_name
can you play my favorite audio book of tarzan,play,play,play_audiobook,play_audiobook,O O O O O O O O B-audiobook_name,O O O O O B-media_type O O B-audiobook_name
resume my audio book from karl pilkington,play,play,play_audiobook,play_audiobook,B-player_setting O O O O B-audiobook_author I-audiobook_author,B-player_setting O B-media_type B-media_type O B-audiobook_name I-audiobook_name
can you put on the giver,play,iot,play_audiobook,iot_wemo_on,O O B-player_setting I-player_setting B-audiobook_name I-audiobook_name,O O O O O O
pause the book,play,play,play_audiobook,play_audiobook,B-player_setting O O,O O O
open audio book history of rome,play,play,play_audiobook,play_audiobook,O O O B-audiobook_name I-audiobook_name I-audiobook_name,O B-media_type O B-audiobook_name I-audiobook_name I-audiobook_name
resume the playback of a child called it,play,play,play_audiobook,play_audiobook,B-player_setting O O O O O O O,B-player_setting O B-player_setting O O B-audiobook_name I-audiobook_name I-audiobook_name
play biography of jackie kennedy,play,play,play_audiobook,play_audiobook,O B-audiobook_name I-audiobook_name I-audiobook_name I-audiobook_name,O O O B-person I-person
open media play jingle bells,play,play,play_music,play_music,O O O B-song_name I-song_name,O O O B-music_genre I-song_name
olly let's listen to hunt for read october,play,play,play_audiobook,play_audiobook,O O O O B-audiobook_name I-audiobook_name I-audiobook_name I-audiobook_name,O O O O B-audiobook_name I-audiobook_name I-audiobook_name B-audiobook_name
stop play,play,play,play_audiobook,audio_volume_mute,B-player_setting I-player_setting,O O
hold,play,play,play_audiobook,play_game,B-player_setting,O
keep reading the audiobook to me,play,play,play_audiobook,play_audiobook,B-player_setting I-player_setting O B-media_type O O,O O O B-media_type O O
please continue reading audiobook,play,play,play_audiobook,play_audiobook,O B-player_setting I-player_setting B-media_type,O B-player_setting O B-media_type
play the romantic songs,play,play,play_music,play_music,O O O O,O O B-music_genre O
resume born to run,play,play,play_music,play_audiobook,B-player_setting B-song_name I-song_name I-song_name,B-player_setting B-audiobook_name I-audiobook_name I-audiobook_name
continue the last chapter of the audio book i was listening to,play,play,play_audiobook,play_audiobook,B-player_setting O O O O O B-media_type I-media_type O O O O,B-player_setting O O O O O B-media_type O O O O O
alexa start from my last session of joes book,play,play,play_audiobook,play_audiobook,O B-player_setting O O O O O B-audiobook_name I-audiobook_name,O O O O O O O B-audiobook_name O
start audio playback of twilight again,play,play,play_audiobook,play_audiobook,B-player_setting O O O B-audiobook_name O,O O O O B-audiobook_name I-audiobook_name
play the twilight book,play,play,play_audiobook,play_audiobook,O O B-audiobook_name O,O O B-audiobook_name I-audiobook_name
my choice to play an audio from first,play,play,play_audiobook,play_audiobook,O O O O O O O O,O O O O O B-media_type O O
read some more of the daisy goodwin book for me,play,play,play_audiobook,play_audiobook,B-player_setting O O O O B-audiobook_author I-audiobook_author B-media_type O O,O O O O O B-person I-person O O O
please play the notebook audio,play,play,play_audiobook,play_audiobook,O O B-audiobook_name I-audiobook_name O,O O O B-player_setting B-media_type
keep playing secret garden,play,play,play_audiobook,play_game,B-player_setting I-player_setting B-audiobook_name I-audiobook_name,O O B-game_name I-game_name
start chapter five of physics for future presidents,play,play,play_audiobook,play_audiobook,B-player_setting I-player_setting I-player_setting O B-audiobook_name I-audiobook_name I-audiobook_name I-audiobook_name,O O O O B-audiobook_name O O O
playback tom clancy splinter cell,play,play,play_audiobook,play_audiobook,B-player_setting B-audiobook_author I-audiobook_author B-audiobook_name I-audiobook_name,O B-audiobook_name I-audiobook_name I-audiobook_name I-audiobook_name
play me a random audio book that has to do with love,play,play,play_audiobook,play_audiobook,O O O O B-media_type I-media_type O O O O O O,O O O O B-media_type O O O O O O O
keep playing war and peace,play,play,play_audiobook,play_music,B-player_setting I-player_setting B-audiobook_name I-audiobook_name I-audiobook_name,O O B-song_name I-song_name I-song_name
olly how long should i boil the eggs,cooking,cooking,cooking_recipe,cooking_recipe,O O O O O B-cooking_type O B-food_type,O O O O O O O B-food_type
how long should i boil an egg,cooking,cooking,cooking_recipe,cooking_recipe,O O O O B-cooking_type O B-food_type,O O O O O O B-food_type
how long should i boil the egg,cooking,cooking,cooking_recipe,cooking_recipe,O O O O B-cooking_type O B-food_type,O O O O O O B-food_type
olly how long should i boil the egg,cooking,cooking,cooking_recipe,cooking_recipe,O O O O O B-cooking_type O B-food_type,O O O O O O O B-food_type
how do i cook butter chicken,cooking,cooking,cooking_recipe,cooking_recipe,O O O B-cooking_type B-food_type I-food_type,O O O O B-food_type I-food_type
show me a video on cooking fried chicken,cooking,cooking,cooking_recipe,cooking_recipe,O O O B-media_type O O B-food_type I-food_type,O O O O O O B-food_type I-food_type
what can i substitute butter with,cooking,cooking,cooking_recipe,cooking_recipe,O O O O B-ingredient O,O O O O B-food_type O
what is the best oven temperature to roast potatoes,cooking,cooking,cooking_recipe,cooking_recipe,O O O O O O O B-cooking_type B-ingredient,O O O O O O O O B-food_type
what ingredient can be used instead of saffron,cooking,cooking,cooking_recipe,cooking_recipe,O O O O O O O B-ingredient,O O O O O O O B-food_type
what conducts heat better copper bottomed pots or cast iron,cooking,general,cooking_recipe,general_quirky,O O O O O O O O O O,O O O O O O O O O O
please search the internet and display the suitable youtube videos for cooking italian foods,cooking,general,cooking_recipe,general_quirky,O O O O O O O O B-media_type I-media_type O O B-food_type O,O O O O O O O O O O O O O O
cook me some oats,cooking,cooking,cooking_recipe,cooking_recipe,O O O B-ingredient,O O O O
what is the menu today add some boiled vegetables also to it,cooking,takeaway,cooking_recipe,takeaway_query,O O O O B-date O O B-food_type I-food_type O O O,O O O O B-date O O B-food_type I-food_type O O O
boiling,cooking,cooking,cooking_recipe,cooking_recipe,B-cooking_type,O
please tell me how to i bake twelve oatmeal cookies,cooking,cooking,cooking_recipe,cooking_recipe,O O O O O O O O B-food_type I-food_type,O O O O O O O O O I-food_type
i need a recipe that is from ingredients on my shopping list,cooking,lists,cooking_recipe,lists_createoradd,O O O O O O O O O O B-list_name O,O O O O O O O O O O B-list_name O
can you give me a recipe for homemade chicken noodle soup,cooking,cooking,cooking_recipe,cooking_recipe,O O O O O O O O B-food_type I-food_type I-food_type,O O O O O O O B-food_type B-food_type I-food_type I-food_type
tell me how to make a poor boy sandwich,cooking,cooking,cooking_recipe,cooking_recipe,O O O O O O B-food_type I-food_type I-food_type,O O O O O O B-food_type O I-food_type
baking times for chicken in the oven,cooking,cooking,cooking_recipe,cooking_recipe,O O O B-food_type O O B-device_type,O O O B-food_type O O O
can you substitute baking soda for baking powder,cooking,cooking,cooking_recipe,cooking_recipe,O O O B-ingredient I-ingredient I-ingredient I-ingredient I-ingredient,O O O B-food_type I-food_type O B-food_type I-food_type
what should i cook for supper,cooking,cooking,cooking_recipe,cooking_recipe,O O O O O B-event_name,O O O O O B-meal_type
what is the difference between bake and broil,cooking,cooking,cooking_recipe,cooking_recipe,O O O O O O O O,O O O O O B-food_type O B-food_type
how long do i cook maccoroni,cooking,cooking,cooking_recipe,cooking_recipe,O O O O O O,O O O O O B-food_type
recipes that can be cooked in an hour,cooking,cooking,cooking_recipe,cooking_recipe,O O O O O O O O,O O O O O B-time I-time I-time
search in the web for buying bakeware for muffins,cooking,cooking,cooking_recipe,cooking_recipe,O O O O O O O O O,O O O O O O O O B-food_type
find the recipe for sambar in cookingforu application,cooking,cooking,cooking_recipe,cooking_recipe,O O O O B-food_type O B-app_name O,O O O O B-food_type O O O
what ingredients do i need to bake a large cake,cooking,cooking,cooking_recipe,cooking_recipe,O O O O O O B-cooking_type O O B-food_type,O O O O O O B-food_type O O B-food_type
please play clash of clans,play,play,play_game,play_music,O O B-game_name I-game_name I-game_name,O O B-song_name I-audiobook_name I-audiobook_name
open saga,play,play,play_game,play_game,O B-game_name,O O
let's play you'll be the keeper and never change position,play,play,play_game,play_game,O O O O O O O O O O,O O B-game_name I-game_name I-game_name B-game_name O O O O
play papa pear saga,play,play,play_game,play_music,O B-game_name I-game_name I-game_name,O B-song_name I-song_name I-song_name
bring up papa pear saga,play,play,play_game,play_game,O O B-game_name I-game_name I-game_name,O O B-person I-person O
start a competitive crossword for us,play,play,play_game,play_game,O O B-game_name I-game_name O O,O O O O O O
open parcheese game for you and i,play,play,play_game,play_game,O B-game_name I-game_name O O O O,O B-game_name O O O O O
what i am going to do today,lists,general,lists_query,general_quirky,O O O O O O B-date,O O O O O O B-date
remove pencil from stationary,lists,lists,lists_remove,lists_remove,O O O B-list_name,O O O O
may i have a list of five star hotels in paris,qa,recommendation,qa_factoid,recommendation_locations,O O O O O O B-list_name I-list_name I-list_name O B-place_name,O O O O O O O O B-business_type O B-place_name
add the post office to my list of errands for saturday,lists,lists,lists_createoradd,lists_createoradd,O O O O O O O O B-list_name O B-date,O O O I-place_name O O O O B-list_name O B-date
i want to make this week's shopping list,lists,lists,lists_createoradd,lists_createoradd,O O O O O B-time B-list_name O,O O O O B-date I-date B-list_name O
remove my car payment on my calendar,lists,calendar,lists_remove,calendar_remove,O O O O O O O,O O B-event_name I-event_name O O O
how the to do list for today,lists,lists,lists_query,lists_query,O O O O O O B-date,O O B-list_name I-list_name O O B-date
please repeat my shopping list,lists,lists,lists_query,lists_createoradd,O O O B-list_name O,O O O B-list_name O
remove the old music list,lists,lists,lists_remove,lists_remove,O O B-list_name I-list_name O,O O O O O
android,lists,news,lists_query,news_query,O,O
reset my locations list,lists,lists,lists_remove,lists_remove,O O B-list_name O,O O O O
search the item,lists,lists,lists_createoradd,lists_query,O O O,O O O
add paav bhaji in menu card,lists,takeaway,lists_createoradd,takeaway_order,O O O O O O,O B-food_type I-food_type O O O
add detergent to the list of things i need to buy,lists,lists,lists_createoradd,lists_createoradd,O O O O O O B-list_name I-list_name I-list_name I-list_name I-list_name,O O O O O O O O B-list_name B-list_name B-list_name
add red wine to my shopping list,lists,lists,lists_createoradd,lists_createoradd,O O O O O B-list_name I-list_name,O O O O O B-list_name O
recite the schedules of the list,lists,lists,lists_query,lists_query,O O B-list_name O O O,O O O O O O
if there is event of show then remove it,lists,calendar,lists_remove,calendar_remove,O O O O O O O O O,O O O O O O O O O
replace,lists,calendar,lists_remove,calendar_remove,O,O
what did i put down already on the walmart list,lists,lists,lists_query,lists_query,O O O O O O O O B-list_name I-list_name,O O O O O O O O B-business_name O
tell me that list i wrote two days ago,lists,lists,lists_query,lists_query,O O O O O O B-date I-date O,O O O O O O B-date I-date I-date
create a playlist,lists,play,lists_createoradd,play_music,O O O,O O O
i don't have enough money to buy the nintendo switch right now can you please remove it on my amazon wishlist,lists,lists,lists_remove,lists_remove,O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O B-list_name B-list_name
take that off there,lists,iot,lists_remove,iot_wemo_off,O O O O,O O O O
please remove my list of favorite albums,lists,lists,lists_remove,lists_remove,O O O O O B-list_name I-list_name,O O O O O O O
what groups are listed in my contacts,lists,email,lists_query,email_querycontact,O O O O O O O,O O O O O O O
delete my to do's for this week,lists,calendar,lists_remove,calendar_remove,O O B-list_name I-list_name O B-date I-date,O O O O O B-date I-date
on my to dos remove mop kitchen,lists,lists,lists_remove,lists_remove,O O B-list_name I-list_name O O O,O O O O O O B-house_place
add bob to my list of contacts,lists,email,lists_createoradd,email_addcontact,O B-person O O B-list_name I-list_name I-list_name,O B-person O O O O O
what are my current list,lists,lists,lists_query,lists_query,O O O B-list_name O,O O O O O
give me the details on purchase order,lists,takeaway,lists_query,takeaway_query,O O O O O O O,O O O O O O O
add business contacts to contact list,lists,email,lists_createoradd,email_addcontact,O O O O B-list_name I-list_name,O O O O O O
open google keep,lists,qa,lists_query,qa_factoid,O B-app_name I-app_name,O O O
add a wrist watch to the shopping list,lists,lists,lists_createoradd,lists_createoradd,O O O O O O B-list_name I-list_name,O O O O O O B-list_name O
jump to next podcast,play,play,play_podcasts,play_podcasts,B-player_setting O B-podcast_descriptor I-podcast_descriptor,O O O O
find an interesting podcast about last pritzker price winners,play,play,play_podcasts,play_podcasts,O O O O O O B-podcast_descriptor I-podcast_descriptor I-podcast_descriptor,O O O O O B-podcast_name B-podcast_name I-podcast_name I-podcast_name
play next podcast,play,play,play_podcasts,play_podcasts,O B-podcast_descriptor I-podcast_descriptor,O O O
play next,play,play,play_podcasts,play_music,O O,O O
play next episode of harry potter by j. k. rowling,play,play,play_audiobook,play_podcasts,O O O O B-audiobook_name I-audiobook_name O B-audiobook_author I-audiobook_author I-audiobook_author,O B-podcast_descriptor I-podcast_descriptor O B-audiobook_name I-audiobook_name O B-person I-person I-person
play last libertarian podcast,play,play,play_podcasts,play_podcasts,O B-podcast_name I-podcast_name O,O O B-podcast_name O
play that podcast i was listening to yesterday,play,play,play_podcasts,play_podcasts,O O O O O B-podcast_descriptor I-podcast_descriptor I-podcast_descriptor,O O O O O O O B-date
play podcast for the philadelphia eagles content,play,play,play_podcasts,play_podcasts,O O O O B-podcast_name I-podcast_name I-podcast_name,O O O O B-podcast_name I-podcast_name O
show me the best podcast of rock songs having good rating,play,play,play_podcasts,play_podcasts,O O O O O O B-podcast_descriptor I-podcast_descriptor I-podcast_descriptor I-podcast_descriptor I-podcast_descriptor,O O O O O O B-podcast_name I-podcast_descriptor O O O
play and shuffle all slow music songs,play,play,play_music,play_music,B-player_setting I-player_setting I-player_setting O O O O,O O B-player_setting O B-music_genre O O
play my most watched podcast,play,play,play_podcasts,play_podcasts,O O B-podcast_descriptor I-podcast_descriptor O,O O O O O
does allearsnet have a new podcast,play,play,play_podcasts,play_podcasts,O B-person O O O O,O B-podcast_name O O O O
olly start the podcast over that i started last night,play,play,play_podcasts,play_podcasts,O O O O O O O B-podcast_descriptor I-podcast_descriptor I-podcast_descriptor,O O O O O O O O B-date I-date
shadi special podcast play it,play,play,play_podcasts,play_podcasts,B-podcast_name I-podcast_name O O O,B-podcast_name I-podcast_descriptor O O O
go back to previous episode of podcast,play,play,play_podcasts,play_podcasts,O O O B-podcast_descriptor I-podcast_descriptor O O,O O O O I-podcast_descriptor O O
play duncan trussel's latest podcast,play,play,play_podcasts,play_podcasts,O B-person I-person O O,O B-podcast_name I-person O O
go backward thirty seconds,play,play,play_podcasts,play_audiobook,B-player_setting I-player_setting B-time I-time,O O O I-time
vitaly channel,play,play,play_podcasts,qa_factoid,B-radio_name I-radio_name,O O
start the gilmore guys,play,play,play_podcasts,play_audiobook,O O B-podcast_name I-podcast_name,O O B-audiobook_name I-audiobook_name
i want to listen to the latest mike and mike podcast,play,play,play_podcasts,play_podcasts,O O O O O O O B-podcast_name I-podcast_name I-podcast_name O,O O O O O O O B-podcast_name O B-person O
start podcasts on n. f. l.,play,play,play_podcasts,play_podcasts,O O O B-podcast_name I-podcast_name I-podcast_name,O O O B-podcast_name B-podcast_name I-podcast_name
move to next section,play,play,play_podcasts,play_podcasts,B-player_setting O O O,O O O O
move on to the next podcast episode,play,play,play_podcasts,play_podcasts,B-player_setting I-player_setting O O B-podcast_descriptor I-podcast_descriptor I-podcast_descriptor,O O O O B-podcast_descriptor O I-podcast_descriptor
go back to the last episode in this podcast,play,play,play_podcasts,play_podcasts,B-player_setting I-player_setting O O B-podcast_descriptor I-podcast_descriptor O O O,O O O O O I-podcast_descriptor O O O
i want to listen to a sports podcast,play,play,play_podcasts,play_podcasts,O O O O O O B-podcast_name I-podcast_name,O O O O O O B-podcast_name O
play the most recent podcast for this american life,play,play,play_podcasts,play_podcasts,O O B-podcast_descriptor I-podcast_descriptor I-podcast_descriptor O O B-podcast_name I-podcast_name,O O O O O O B-podcast_name I-podcast_descriptor I-podcast_descriptor
resume series podcast,play,play,play_podcasts,play_podcasts,O B-podcast_descriptor I-podcast_descriptor,B-player_setting O O
play the previous podcast,play,play,play_podcasts,play_podcasts,O O B-podcast_descriptor I-podcast_descriptor,O O O O
start playing ringcast,play,play,play_podcasts,play_radio,O O B-podcast_name,O O B-radio_name
play the next show on podcast,play,play,play_podcasts,play_podcasts,O O B-podcast_descriptor I-podcast_descriptor O O,O O B-podcast_descriptor O O O
next button,play,iot,play_podcasts,iot_wemo_on,O O,O O
replay my last played podcast,play,play,play_podcasts,play_podcasts,B-player_setting O O O O,O O O O O
lets hear the united states of anxiety podcast,play,play,play_podcasts,play_podcasts,O O B-podcast_name I-podcast_name I-podcast_name I-podcast_name I-podcast_name O,O O B-podcast_name B-podcast_name I-podcast_name I-podcast_name I-podcast_name O
i want to see the next podcast available,play,play,play_podcasts,play_podcasts,O O O O O B-podcast_descriptor I-podcast_descriptor O,O O O O O B-podcast_descriptor O O
hey play my favorite podcast from list,play,play,play_podcasts,play_podcasts,O O O B-podcast_descriptor O O O,O O O O O O O
add podcast favorites to playlist and start,play,play,play_podcasts,play_podcasts,O O O O O O B-player_setting,O O O O O O O
start next podcast,play,play,play_podcasts,play_podcasts,B-player_setting O O,O O O
play all order of the green hand from previous week,play,play,play_podcasts,play_audiobook,O O B-podcast_name I-podcast_name I-podcast_name I-podcast_name I-podcast_name O O O,O O B-audiobook_name I-audiobook_name I-audiobook_name I-audiobook_name I-audiobook_name O B-date I-date
what's happening around my town,recommendation,recommendation,recommendation_events,recommendation_events,O O O O B-place_name,O O O O O
is there anything happening on jazz scene around edinburgh,recommendation,recommendation,recommendation_events,recommendation_events,O O O O O B-movie_type I-movie_type O B-place_name,O O O O O B-event_name I-place_name O B-place_name
what movie can i watch tonight on the theater here in boston,recommendation,recommendation,recommendation_events,recommendation_movies,O B-business_type O O O B-timeofday O O O O O B-place_name,O O O O O B-timeofday O O B-place_name O O B-place_name
give the list of theaters in the vicinity,recommendation,recommendation,recommendation_locations,recommendation_locations,O O O O B-business_type O O B-place_name,O O O O B-business_type O O O
give me the list of circus shows going on in the city right now,recommendation,recommendation,recommendation_events,recommendation_events,O O O O O B-event_name O O O O O B-place_name O O,O O O O O B-event_name I-event_name O O O O B-place_name O O
what movies are showing in cinema today,recommendation,recommendation,recommendation_movies,recommendation_movies,O O O O O B-business_type B-date,O O O O O B-place_name B-date
what events are happening soon,recommendation,calendar,recommendation_events,calendar_query,O O O O B-time,O O O O O
olly i'm looking for some dress shows can you find clothing stores within one mile,recommendation,recommendation,recommendation_locations,recommendation_locations,O O O O O B-business_type I-business_type O O O O O B-place_name I-place_name I-place_name,O O O O O O I-event_name O O O B-business_type I-business_type B-place_name I-place_name I-place_name
please show me marathon nearby me,recommendation,recommendation,recommendation_events,recommendation_events,O O O B-event_name O O,O O O O O O
do you have any suggestion action movies,recommendation,recommendation,recommendation_movies,recommendation_movies,O O O O O B-movie_type O,O O O O O B-place_name O
show me reviews of my nearest location food court,recommendation,recommendation,recommendation_locations,recommendation_locations,O O O O O B-place_name I-place_name B-business_type I-business_type,O O O O O O O B-place_name I-place_name
what shops are round here,recommendation,recommendation,recommendation_locations,recommendation_locations,O O O B-place_name I-place_name,O B-business_type O O O
swimming,recommendation,general,recommendation_events,general_quirky,B-event_name,O
olly what are new drama movies opening this weekend,recommendation,recommendation,recommendation_movies,recommendation_events,O O O O B-movie_type O O O B-time,O O O O B-event_name I-event_name O B-date I-date
